#year,locid,itn_ga,itn_mil,itn_ac,itn_at
2013,5Z5,100,0,0,1000
2013,60F,100,0,0,0
2013,60J,10000,500,0,0
2013,61A,2912,0,0,0
2013,61C,3300,50,0,200
2013,61J,3040,100,0,2000
2013,61S,9869,0,0,500
2013,62D,1040,0,0,0
2013,62S,2540,0,0,100
2013,63A,2000,0,0,5900
2013,63C,3000,20,0,50
2013,63S,2000,0,0,0
2013,65J,800,0,0,0
2013,65S,12831,125,0,500
2013,67L,13000,50,0,0
2013,68A,200,0,0,100
2013,68S,2119,0,0,0
2013,6A1,2000,0,0,0
2013,6A2,772,0,0,0
2013,6A4,3575,0,0,150
2013,6A8,1000,20,0,1200
2013,6B0,2900,800,0,0
2013,6B4,5000,80,0,0
2013,6B6,13000,10,0,85
2013,6B9,1600,8,0,0
2013,6D6,2500,100,0,0
2013,6E5,120,0,0,0
2013,6F1,100,0,0,0
2013,6G1,2512,6,0,0
2013,6G5,2407,50,0,0
2013,6I2,2975,50,0,500
2013,6J0,3456,144,0,0
2013,6J2,2500,0,0,0
2013,6J4,800,0,0,0
2013,6K3,200,0,0,0
2013,6K4,2400,0,0,0
2013,6K8,200,0,0,1500
2013,6L3,1000,100,0,100
2013,6L4,2500,300,0,0
2013,6M2,3500,400,0,0
2013,6M6,500,5,0,0
2013,6M7,4000,50,0,0
2013,6M8,3506,0,0,200
2013,6N5,5300,300,0,22155
2013,6N7,500,0,0,500
2013,6NK,0,0,0,0
2013,6R3,4600,400,0,0
2013,6R7,0,0,0,0
2013,6S0,1750,0,0,700
2013,6S2,2898,1500,0,600
2013,6S3,4800,0,0,250
2013,6S5,8200,0,0,1900
2013,6S8,33000,0,0,0
2013,6V0,36,0,0,0
2013,6V4,400,0,0,12
2013,6V5,180,0,0,0
2013,6Y1,1500,0,0,500
2013,70J,3500,200,0,0
2013,71J,54300,0,0,0
2013,72S,3300,0,0,0
2013,73C,4000,0,0,0
2013,74S,6000,0,0,3000
2013,74V,2965,0,0,60
2013,75J,1450,100,0,0
2013,77G,2480,0,0,0
2013,77S,22871,0,0,1120
2013,79D,4000,10,0,0
2013,79J,9770,51100,0,0
2013,79S,1650,0,0,0
2013,7A0,1440,0,0,0
2013,7A3,2340,10,0,0
2013,7A5,2200,0,0,0
2013,7A8,3000,1000,0,0
2013,7B2,1000,400,0,156
2013,7F3,1000,0,0,0
2013,7F7,1900,0,0,0
2013,7G0,1500,600,0,0
2013,7G8,800,0,0,250
2013,7G9,180,0,0,0
2013,7K2,100,0,0,50
2013,7K5,1000,0,0,300
2013,7KA,1000,0,0,1250
2013,7L2,800,50,0,200
2013,7M1,5000,100,0,0
2013,7M3,1009,0,0,0
2013,7M4,1016,0,0,100
2013,7M5,1000,50,0,0
2013,7M6,300,0,0,0
2013,7M7,1200,16,0,0
2013,7N0,4000,900,0,0
2013,7N1,1500,0,0,25
2013,7S0,1000,0,0,0
2013,7S1,1500,0,0,50
2013,7S5,24048,0,0,1121
2013,7S6,3500,0,0,225
2013,7S7,150,50,0,0
2013,7V7,650,10,0,0
2013,7W5,550,12,0,75
2013,7W6,2500,500,0,50
2013,80F,650,0,0,0
2013,81B,12000,0,0,70
2013,82C,2000,10,0,100
2013,82V,2800,250,0,400
2013,83D,15000,50,0,15000
2013,84D,1400,0,0,0
2013,84K,30,0,0,300
2013,84R,3100,0,0,0
2013,86F,300,0,0,0
2013,87I,1600,160,0,0
2013,88C,6000,0,0,0
2013,88J,4800,200,0,480
2013,88M,460,0,0,75
2013,89D,9500,0,0,8695
2013,8A0,19880,0,0,0
2013,8A1,6309,100,0,0
2013,8A3,1200,24,0,0
2013,8A4,9053,80,0,92
2013,8B0,5000,300,0,50
2013,8C4,792,20,0,0
2013,8D1,3500,200,0,200
2013,8D3,80,0,0,6
2013,8D4,500,0,0,0
